>5HT2C_HUMAN,0000269,0,269
>5NTD_HUMAN,0000269,0,269
>7B2_HUMAN,0000269,0,250
>A2MG_HUMAN,0000269,0,269
>A4_HUMAN,0000269,0,269
>ACE_HUMAN,0000269,0,269
>ACHA7_HUMAN,0000250,0,269
>ACHA_HUMAN,0000269,0,269
>ADA32_HUMAN,0000269,0,305
>ADIPO_HUMAN,0000269,0,269
>AFAM_HUMAN,0000269,0,269
>AGR2_HUMAN,0000269,0,269
>AGR3_HUMAN,0000269,0,269
>AGRG1_HUMAN,0000269,0,269
>AGRG3_HUMAN,0000269,0,269
>AGRL1_HUMAN,0000250,0,269
>AMBP_HUMAN,0000269,0,269
>AMD_HUMAN,0000305,0,250
>AMELX_HUMAN,0000269,0,305
>AMNLS_HUMAN,0000269,0,269
>AMTN_HUMAN,0000269,0,250
>ANFB_HUMAN,0000269,0,269
>ANF_HUMAN,0000250,0,269
>ANGI_HUMAN,0000269,0,269
>ANGL3_HUMAN,0000269,0,305
>ANGL7_HUMAN,0000269,0,269
>ANGT_HUMAN,0000269,0,305
>AOAH_HUMAN,0000269,0,269
>APOA2_HUMAN,0000269,0,269
>APOC1_HUMAN,0000269,0,303
>APOC2_HUMAN,0000269,0,269
>APOC3_HUMAN,0000269,0,303
>APOE_HUMAN,0000269,0,269
>ARAID_HUMAN,0000269,0,269
>ARSA_HUMAN,0000269,0,269
>AUGN_HUMAN,0000250,0,269
>B2MG_HUMAN,0000269,0,269
>BAMBI_HUMAN,0000269,0,305
>BGH3_HUMAN,0000269,0,269
>BIP_HUMAN,0000269,0,269
>BOC_HUMAN,0000269,0,269
>BPIB2_HUMAN,0000269,0,250
>BPI_HUMAN,0000269,0,269
>BST1_HUMAN,0000269,0,269
>BT3A3_HUMAN,0000269,0,269
>BTNL8_HUMAN,0000269,0,250
>C163B_HUMAN,0000269,0,305
>C16L2_HUMAN,0000269,0,305
>C1QT4_HUMAN,0000269,0,269
>C1QT5_HUMAN,0000269,0,305
>C1QT6_HUMAN,0000269,0,305
>C1R_HUMAN,0000269,0,269
>CADM3_HUMAN,0000269,0,250
>CAH4_HUMAN,0000269,0,269
